School_ID,SCHOOL,Total,year,the_geom,Address,Zip,Lat,Long,GeoNetwork,COMMAREA,race,percent,SEHS
400022,CHGO ARTS CONTR ,613,2019,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,9.2984,Other CPS
400022,CHGO ARTS CONTR ,603,2017,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,17.4,Other CPS
400022,CHGO ARTS CONTR ,603,2017,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,44.9,Other CPS
400022,CHGO ARTS CONTR ,603,2017,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,28.4,Other CPS
400022,CHGO ARTS CONTR ,603,2017,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,1.658,Other CPS
400022,CHGO ARTS CONTR ,603,2017,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,7.6255,Other CPS
400022,CHGO ARTS CONTR ,618,2020,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,18.8,Other CPS
400022,CHGO ARTS CONTR ,618,2020,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,32.2,Other CPS
400022,CHGO ARTS CONTR ,618,2020,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,39.2,Other CPS
400022,CHGO ARTS CONTR ,618,2020,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,1.456,Other CPS
400022,CHGO ARTS CONTR ,618,2020,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,8.4092,Other CPS
400022,CHGO ARTS CONTR ,605,2016,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,16.4,Other CPS
400022,CHGO ARTS CONTR ,605,2016,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,51.1,Other CPS
400022,CHGO ARTS CONTR ,605,2016,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,25.5,Other CPS
400022,CHGO ARTS CONTR ,605,2016,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,1.983,Other CPS
400022,CHGO ARTS CONTR ,605,2016,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,5.1229,Other CPS
400022,CHGO ARTS CONTR ,575,2014,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,White,12,Other CPS
400022,CHGO ARTS CONTR ,575,2014,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Black,53.2,Other CPS
400022,CHGO ARTS CONTR ,575,2014,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Latinx,23.5,Other CPS
400022,CHGO ARTS CONTR ,575,2014,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Asian,1.2,Other CPS
400022,CHGO ARTS CONTR ,575,2014,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,5,WEST TOWN,Other,10.1,Other CPS
400032,CICS - ELLISON ,458,2016,POINT (-87.66897963928055 41.7483824079856),1817 W 80th St,60620,41.748382,-87.66898,11,AUBURN GRESHAM,White,0,Other CPS
400032,CICS - ELLISON ,458,2016,POINT (-87.66897963928055 41.7483824079856),1817 W 80th St,60620,41.748382,-87.66898,11,AUBURN GRESHAM,Black,98.3,Other CPS
400032,CICS - ELLISON ,458,2016,POINT (-87.66897963928055 41.7483824079856),1817 W 80th St,60620,41.748382,-87.66898,11,AUBURN GRESHAM,Latinx,0.7,Other CPS
400032,CICS - ELLISON ,458,2016,POINT (-87.66897963928055 41.7483824079856),1817 W 80th St,60620,41.748382,-87.66898,11,AUBURN GRESHAM,Asian,0,Other CPS
400032,CICS - ELLISON ,458,2016,POINT (-87.66897963928055 41.7483824079856),1817 W 80th St,60620,41.748382,-87.66898,11,AUBURN GRESHAM,Other,1.088,Other CPS
400034,CICS - NORTHTOWN ,879,2016,POINT (-87.7265042643701 41.99024501112797),3900 W Peterson Ave,60659,41.990245,-87.726504,1,NORTH PARK,White,19.3,Other CPS
400034,CICS - NORTHTOWN ,879,2016,POINT (-87.7265042643701 41.99024501112797),3900 W Peterson Ave,60659,41.990245,-87.726504,1,NORTH PARK,Black,6,Other CPS
400034,CICS - NORTHTOWN ,879,2016,POINT (-87.7265042643701 41.99024501112797),3900 W Peterson Ave,60659,41.990245,-87.726504,1,NORTH PARK,Latinx,55.2,Other CPS
400034,CICS - NORTHTOWN ,879,2016,POINT (-87.7265042643701 41.99024501112797),3900 W Peterson Ave,60659,41.990245,-87.726504,1,NORTH PARK,Asian,16.268,Other CPS
400034,CICS - NORTHTOWN ,879,2016,POINT (-87.7265042643701 41.99024501112797),3900 W Peterson Ave,60659,41.990245,-87.726504,1,NORTH PARK,Other,3.1816,Other CPS
